movieId,title,year,genres,first_three_actors,director,original_language,imdb_id,movieIdInt
8391,When Night Is Falling,1995,"Drama, Romance","Pascale Bussières, Rachael Crawford, Henry Czerny",Patricia Rozema,en,tt0114916,2687
629,The Usual Suspects,1995,"Drama, Crime, Thriller","Stephen Baldwin, Gabriel Byrne, Chazz Palminteri",Bryan Singer,en,tt0114814,481
2054,Mr. Holland's Opus,1995,"Music, Drama, Family","Richard Dreyfuss, Glenne Headly, Jay Thomas",Stephen Herek,en,tt0113862,1270
4482,French Twist,1995,"Comedy, Romance","Victoria Abril, Josiane Balasko, Alain Chabat",Josiane Balasko,fr,tt0113149,1953
755,From Dusk Till Dawn,1996,"Horror, Action, Thriller, Crime","George Clooney, Quentin Tarantino, Harvey Keitel",Robert Rodriguez,en,tt0116367,568
27526,The Crossing Guard,1995,"Drama, Thriller","Jack Nicholson, David Morse, Anjelica Huston",Sean Penn,en,tt0112744,3391
400,Things to Do in Denver When You're Dead,1995,"Drama, Crime","Andy García, Christopher Lloyd, William Forsythe",Gary Fleder,en,tt0114660,303
880,Antonia's Line,1995,"Drama, Comedy","Willeke van Ammelrooy, Els Dottermans, Dora van der Groen",Marleen Gorris,nl,tt0112379,687
8447,Angels and Insects,1995,"Drama, Romance","Mark Rylance, Kristin Scott Thomas, Patsy Kensit",Philip Haas,en,tt0112365,2700
2086,Nick of Time,1995,"Crime, Drama, Thriller","Johnny Depp, Courtney Chase, Charles S. Dutton",John Badham,en,tt0113972,1292
406,La Haine,1995,Drama,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui",Mathieu Kassovitz,fr,tt0113247,309
2045,Unforgettable,1996,"Drama, Mystery, Science Fiction, Thriller","Ray Liotta, Linda Fiorentino, Peter Coyote",John Dahl,en,tt0118040,1265
688,The Bridges of Madison County,1995,"Drama, Romance","Meryl Streep, Clint Eastwood, Annie Corley",Clint Eastwood,en,tt0112579,532
197,Braveheart,1995,"Action, Drama, History, War","Mel Gibson, Catherine McCormack, Sophie Marceau",Mel Gibson,en,tt0112573,149
103,Taxi Driver,1976,"Crime, Drama","Robert De Niro, Cybill Shepherd, Harvey Keitel",Martin Scorsese,en,tt0075314,65
2074,Flirting with Disaster,1996,"Comedy, Romance","Ben Stiller, Patricia Arquette, Téa Leoni",David O. Russell,en,tt0116324,1283
27793,The Neverending Story III: Escape from Fantasia,1994,Fantasy,"Jason James Richter, Melody Kay, Kevin McNulty",Peter MacDonald,en,tt0110647,3437
5757,Man of the Year,1995,Comedy,"Dirk Shafer, Mary Stein, Claudette Sutherland",Dirk Shafer,en,tt0113756,2304
124639,Target,1995,Drama,"Mohan Agashe, Barun Chakraborty, Champa",Sandip Ray,en,tt0114618,6325
568,Apollo 13,1995,Drama,"Tom Hanks, Bill Paxton, Kevin Bacon",Ron Howard,en,tt0112384,426
414,Batman Forever,1995,"Action, Crime, Fantasy","Val Kilmer, Tommy Lee Jones, Jim Carrey",Joel Schumacher,en,tt0112462,315
649,Belle de Jour,1967,"Drama, Romance","Catherine Deneuve, Michel Piccoli, Jean Sorel",Luis Buñuel,fr,tt0061395,499
1873,Beyond Rangoon,1995,"Drama, Thriller","Patricia Arquette, Frances McDormand, U Aung Ko",John Boorman,en,tt0112495,1130
5894,Blue in the Face,1995,Comedy,"Harvey Keitel, Lou Reed, Michael J. Fox",Paul Auster,en,tt0112541,2339
8839,Casper,1995,"Fantasy, Comedy, Family","Christina Ricci, Bill Pullman, Cathy Moriarty",Brad Silberling,en,tt0112642,2784
8963,Crimson Tide,1995,"Action, Thriller, Drama","Denzel Washington, Gene Hackman, Matt Craven",Tony Scott,en,tt0112740,2864
26564,Crumb,1994,Documentary,"Robert Crumb, Aline Kominsky, Charles Crumb",Terry Zwigoff,en,tt0109508,3163
8068,Desperado,1995,"Thriller, Action, Crime","Antonio Banderas, Salma Hayek, Joaquim de Almeida",Robert Rodriguez,en,tt0112851,2633
8512,Devil in a Blue Dress,1995,"Drama, Mystery, Thriller","Denzel Washington, Tom Sizemore, Jennifer Beals",Carl Franklin,en,tt0112857,2715
1572,Die Hard: With a Vengeance,1995,"Action, Thriller","Bruce Willis, Jeremy Irons, Samuel L. Jackson",John McTiernan,en,tt0112864,951
6520,First Knight,1995,"Action, Adventure, Drama, Romance","Sean Connery, Richard Gere, Julia Ormond",Jerry Zucker,en,tt0113071,2457
8973,Lord of Illusions,1995,"Mystery, Horror, Thriller","Scott Bakula, Kevin J. O'Connor, Famke Janssen",Clive Barker,en,tt0113690,2870
2293,Mallrats,1995,"Romance, Comedy","Jason Lee, Jeremy London, Shannen Doherty",Kevin Smith,en,tt0113749,1406
1642,The Net,1995,"Crime, Drama, Mystery, Thriller, Action","Sandra Bullock, Jeremy Northam, Dennis Miller",Irwin Winkler,en,tt0113957,1003
32646,Safe,1995,Drama,"Julianne Moore, Xander Berkeley, Dean Norris",Todd Haynes,en,tt0114323,3645
281,Strange Days,1995,"Crime, Drama, Science Fiction, Thriller","Ralph Fiennes, Angela Bassett, Tom Sizemore",Kathryn Bigelow,en,tt0114558,224
5967,The Umbrellas of Cherbourg,1964,"Drama, Romance","Catherine Deneuve, Nino Castelnuovo, Anne Vernon",Jacques Demy,fr,tt0058450,2366
3512,Under Siege 2: Dark Territory,1995,"Action, Thriller","Steven Seagal, Eric Bogosian, Everett McGill",Geoff Murphy,en,tt0114781,1750
65796,Wild Bill,1995,"Action, Western","Jeff Bridges, Ellen Barkin, John Hurt",Walter Hill,en,tt0114938,4637
26258,Bushwhacked,1995,"Adventure, Action, Comedy, Crime, Family","Daniel Stern, Jon Polito, Brad Sullivan",Greg Beeman,en,tt0112602,3066
76,Before Sunrise,1995,"Drama, Romance","Ethan Hawke, Julie Delpy, Andrea Eckert",Richard Linklater,en,tt0112471,41
6715,The Cure,1995,"Drama, Family","Brad Renfro, Joseph Mazzello, Annabella Sciorra",Peter Horton,en,tt0112757,2488
2292,Clerks,1994,Comedy,"Brian O'Halloran, Jeff Anderson, Jason Mewes",Kevin Smith,en,tt0109445,1405
1909,Don Juan DeMarco,1994,"Romance, Drama, Comedy","Johnny Depp, Marlon Brando, Faye Dunaway",Jeremy Leven,en,tt0112883,1159
8984,Disclosure,1994,"Drama, Thriller, Crime, Mystery, Romance","Michael Douglas, Demi Moore, Donald Sutherland",Barry Levinson,en,tt0109635,2879
4954,Drop Zone,1994,"Action, Adventure, Thriller","Wesley Snipes, Gary Busey, Yancy Butler",John Badham,en,tt0109676,2106
522,Ed Wood,1994,"Comedy, Drama, History","Johnny Depp, Martin Landau, Sarah Jessica Parker",Tim Burton,en,tt0109707,389
397,French Kiss,1995,"Comedy, Romance","Meg Ryan, Kevin Kline, Timothy Hutton",Lawrence Kasdan,en,tt0113117,301
1024,Heavenly Creatures,1994,"Drama, Fantasy","Melanie Lynskey, Kate Winslet, Sarah Peirse",Peter Jackson,en,tt0110005,782
628,Interview with the Vampire,1994,"Horror, Romance","Brad Pitt, Tom Cruise, Kirsten Dunst",Neil Jordan,en,tt0110148,480
6280,Junior,1994,"Comedy, Family, Romance","Arnold Schwarzenegger, Danny DeVito, Emma Thompson",Ivan Reitman,en,tt0110216,2417
6071,Kiss of Death,1995,"Action, Crime, Drama, Thriller","David Caruso, Samuel L. Jackson, Nicolas Cage",Barbet Schroeder,en,tt0113552,2387
11,Star Wars,1977,"Adventure, Action, Science Fiction","Mark Hamill, Harrison Ford, Carrie Fisher",George Lucas,en,tt0076759,4
4476,Legends of the Fall,1994,"Adventure, Drama, Romance, War","Brad Pitt, Anthony Hopkins, Aidan Quinn",Edward Zwick,en,tt0110322,1947
32325,Mi Vida Loca,1994,"Crime, Drama","Angel Aviles, Seidy López, Jacob Vargas",Allison Anders,en,tt0107566,3624
3036,Mary Shelley's Frankenstein,1994,"Drama, Horror, Science Fiction, Romance","Robert De Niro, Kenneth Branagh, Tom Hulce",Kenneth Branagh,en,tt0109836,1640
8986,Milk Money,1994,"Comedy, Romance","Melanie Griffith, Ed Harris, Michael Patrick Carter",Richard Benjamin,en,tt0110516,2881
1945,Nell,1994,"Drama, Thriller","Jodie Foster, Liam Neeson, Natasha Richardson",Michael Apted,en,tt0110638,1187
241,Natural Born Killers,1994,"Crime, Thriller, Drama","Woody Harrelson, Juliette Lewis, Robert Downey Jr.",Oliver Stone,en,tt0110632,187
527,Once Were Warriors,1994,Drama,"Rena Owen, Temuera Morrison, Mamaengaroa Kerr-Bell",Lee Tamahori,en,tt0110729,394
6950,Outbreak,1995,"Action, Drama, Science Fiction, Thriller","Dustin Hoffman, Rene Russo, Morgan Freeman",Wolfgang Petersen,en,tt0114069,2508
101,Leon: The Professional,1994,"Thriller, Crime, Drama","Jean Reno, Natalie Portman, Gary Oldman",Luc Besson,fr,tt0110413,63
2307,A Pyromaniac's Love Story,1995,"Comedy, Drama, Romance","William Baldwin, John Leguizamo, Эрика Элениак",Joshua Brand,en,tt0114210,1412
680,Pulp Fiction,1994,"Thriller, Crime","John Travolta, Samuel L. Jackson, Uma Thurman",Quentin Tarantino,en,tt0110912,527
3586,Prêt-à-Porter,1994,"Drama, Comedy","Marcello Mastroianni, Sophia Loren, Jean-Pierre Cassel",Robert Altman,en,tt0110907,1779
110,Three Colors: Red,1994,"Drama, Mystery, Romance","Irène Jacob, Jean-Louis Trintignant, Jean-Pierre Lorit",Krzysztof Kieślowski,fr,tt0111495,72
108,Three Colors: Blue,1993,"Drama, Music, Mystery","Juliette Binoche, Benoît Régent, Florence Pernel",Krzysztof Kieślowski,fr,tt0108394,70
109,Three Colors: White,1994,"Comedy, Drama, Mystery","Zbigniew Zamachowski, Julie Delpy, Janusz Gajos",Krzysztof Kieślowski,fr,tt0111507,71
159185,"Red Firecracker, Green Firecracker",1994,Drama,"Ning Jing, Wu Gang",He Ping,zh,tt0110769,7141
2636,The Specialist,1994,"Action, Thriller","Sylvester Stallone, Sharon Stone, James Woods",Luis Llosa,en,tt0111255,1502
2164,Stargate,1994,"Action, Adventure, Science Fiction","Kurt Russell, James Spader, Jaye Davidson",Roland Emmerich,en,tt0111282,1346
278,The Shawshank Redemption,1994,"Drama, Crime","Tim Robbins, Morgan Freeman, Bob Gunton",Frank Darabont,en,tt0111161,221
193,Star Trek: Generations,1994,"Science Fiction, Action, Adventure, Thriller","Patrick Stewart, Jonathan Frakes, Brent Spiner",David Carson,en,tt0111280,145
95963,The Walking Dead,1995,"Drama, War","Allen Payne, Eddie Griffin, Joe Morton",Preston A. Whitmore II,en,tt0114888,5568
1587,What's Eating Gilbert Grape,1993,"Romance, Drama","Johnny Depp, Leonardo DiCaprio, Juliette Lewis",Lasse Hallström,en,tt0108550,963
2064,While You Were Sleeping,1995,"Comedy, Drama, Romance","Sandra Bullock, Bill Pullman, Peter Gallagher",Jon Turteltaub,en,tt0114924,1278
236,Muriel's Wedding,1994,"Drama, Comedy, Romance","Toni Collette, Bill Hunter, Rachel Griffiths",P.J. Hogan,en,tt0110598,182
3049,Ace Ventura: Pet Detective,1994,"Comedy, Mystery","Jim Carrey, Sean Young, Courteney Cox",Tom Shadyac,en,tt0109040,1646
2759,"The Adventures of Priscilla, Queen of the Desert",1994,"Drama, Comedy","Terence Stamp, Hugo Weaving, Guy Pearce",Stephan Elliott,en,tt0109045,1545
888,The Flintstones,1994,"Fantasy, Comedy, Family","John Goodman, Elizabeth Perkins, Rick Moranis",Brian Levant,en,tt0109813,693
13,Forrest Gump,1994,"Comedy, Drama, Romance","Tom Hanks, Robin Wright, Gary Sinise",Robert Zemeckis,en,tt0109830,6
712,Four Weddings and a Funeral,1994,"Comedy, Drama, Romance","Hugh Grant, Andie MacDowell, James Fleet",Mike Newell,en,tt0109831,555
8587,The Lion King,1994,"Family, Animation, Drama","Jonathan Taylor Thomas, Matthew Broderick, James Earl Jones",Roger Allers,en,tt0110357,2720
1689,Little Buddha,1993,"Drama, History","Keanu Reeves, Bridget Fonda, Chris Isaak",Bernardo Bertolucci,en,tt0107426,1039
854,The Mask,1994,"Romance, Comedy, Crime, Fantasy","Jim Carrey, Cameron Diaz, Nancy Fish",Chuck Russell,en,tt0110475,662
2788,Reality Bites,1994,Drama,"Winona Ryder, Ben Stiller, Janeane Garofalo",Ben Stiller,en,tt0110950,1560
8987,The River Wild,1994,"Action, Adventure, Crime, Thriller","Meryl Streep, David Strathairn, Kevin Bacon",Curtis Hanson,en,tt0110997,2882
8831,Timecop,1994,"Thriller, Science Fiction, Action, Crime","Jean-Claude Van Damme, Mia Sara, Ron Silver",Peter Hyams,en,tt0111438,2777
315,"Faster, Pussycat! Kill! Kill!",1965,"Action, Crime","Tura Satana, Haji, Lori Williams",Russ Meyer,en,tt0059170,253
8011,Highlander: The Final Dimension,1994,"Action, Fantasy, Science Fiction","Christopher Lambert, Mario Van Peebles, Deborah Kara Unger",Andrew Morahan,en,tt0110027,2625
171857,Federal Hill,1995,"Crime, Drama","Nicholas Turturro, Anthony DeSando, Libby Langdon",Michael Corrente,en,tt0109785,7402
2654,In the Mouth of Madness,1994,"Horror, Mystery, Thriller","Sam Neill, Julie Carmen, Jürgen Prochnow",John Carpenter,en,tt0113409,1510
2758,Addams Family Values,1993,"Comedy, Family, Fantasy","Raúl Juliá, Anjelica Huston, Christopher Lloyd",Barry Sonnenfeld,en,tt0106220,1544
306,Beverly Hills Cop III,1994,"Action, Comedy, Crime","Eddie Murphy, Judge Reinhold, Héctor Elizondo",John Landis,en,tt0109254,244
26203,Blink,1994,"Mystery, Crime, Drama, Thriller","Madeleine Stowe, Aidan Quinn, James Remar",Michael Apted,en,tt0109297,3049
178,Blown Away,1994,"Drama, Action, Thriller","Jeff Bridges, Tommy Lee Jones, Suzy Amis",Stephen Hopkins,en,tt0109303,134
4722,Body Snatchers,1993,"Horror, Science Fiction, Thriller","Gabrielle Anwar, Terry Kinney, Billy Wirth",Abel Ferrara,en,tt0106452,2031
26391,Cabin Boy,1994,Comedy,"Chris Elliott, Ritch Brinkley, James Gammon",Adam Resnick,en,tt0109361,3120
117553,Calendar Girl,1993,"Drama, Comedy","Jason Priestley, Gabriel Olds, Jerry O'Connell",John Whitesell,en,tt0106505,6179
6075,Carlito's Way,1993,"Action, Crime, Drama, Thriller","Al Pacino, Sean Penn, Penelope Ann Miller",Brian De Palma,en,tt0106519,2390
2124,Color of Night,1994,"Drama, Mystery, Romance, Thriller","Bruce Willis, Jane March, Rubén Blades",Richard Rush,en,tt0109456,1322
49299,Dangerous Game,1993,Drama,"Harvey Keitel, Madonna, James Russo",Abel Ferrara,en,tt0106660,4191
26141,Fatal Instinct,1993,Comedy,"Armand Assante, Sherilyn Fenn, Kate Nelligan",Carl Reiner,en,tt0106873,3022
5503,The Fugitive,1993,"Adventure, Action, Thriller, Crime, Mystery","Harrison Ford, Tommy Lee Jones, Sela Ward",Andrew Davis,en,tt0106977,2241
2087,The Getaway,1994,"Drama, Action, Thriller","Alec Baldwin, Kim Basinger, Michael Madsen",Roger Donaldson,en,tt0109890,1293
4916,Guilty as Sin,1993,"Drama, Thriller","Rebecca De Mornay, Don Johnson, Dana Ivey",Sidney Lumet,en,tt0107057,2079
2019,Hard Target,1993,"Action, Adventure, Crime, Thriller","Jean-Claude Van Damme, Arnold Vosloo, Lance Henriksen",John Woo,en,tt0107076,1249
26271,Live Nude Girls,1995,Comedy,"Dana Delany, Kim Cattrall, Cynthia Stevenson",Julianna Lavin,en,tt0113674,3075
2259,The House of the Spirits,1993,"Romance, Drama","Meryl Streep, Glenn Close, Jeremy Irons",Bille August,en,tt0107151,1382
7984,In the Name of the Father,1993,Drama,"Daniel Day-Lewis, Pete Postlethwaite, Emma Thompson",Jim Sheridan,en,tt0107207,2617
6,Judgment Night,1993,"Action, Thriller, Crime","Emilio Estevez, Cuba Gooding Jr., Denis Leary",Stephen Hopkins,en,tt0107286,3
329,Jurassic Park,1993,"Adventure, Science Fiction","Sam Neill, Laura Dern, Jeff Goldblum",Steven Spielberg,en,tt0107290,263
507,Killing Zoe,1993,"Action, Crime, Drama, Thriller","Eric Stoltz, Julie Delpy, Jean-Hugues Anglade",Roger Avary,en,tt0110265,381
1413,M. Butterfly,1993,"Drama, Romance","Jeremy Irons, John Lone, Barbara Sukowa",David Cronenberg,en,tt0107468,886
2246,Malice,1993,"Drama, Crime","Alec Baldwin, Nicole Kidman, Bill Pullman",Harold Becker,en,tt0107497,1377
2320,Executive Decision,1996,"Action, Adventure, Drama, Thriller","Kurt Russell, Steven Seagal, Halle Berry",Stuart Baird,en,tt0116253,1418
5879,In the Realm of the Senses,1976,"Drama, Romance","Eiko Matsuda, Tatsuya Fuji, Aoi Nakajima",Nagisa Ōshima,ja,tt0074102,2335
2625,Mr. Jones,1993,"Drama, Romance","Richard Gere, Lena Olin, Anne Bancroft",Mike Figgis,en,tt0107611,1501
788,Mrs. Doubtfire,1993,"Comedy, Drama, Family","Robin Williams, Sally Field, Pierce Brosnan",Chris Columbus,en,tt0107614,600
713,The Piano,1993,"Drama, Romance","Holly Hunter, Harvey Keitel, Sam Neill",Jane Campion,en,tt0107822,556
8291,Poetic Justice,1993,"Drama, Romance","Janet Jackson, Tupac Amaru Shakur, Regina King",John Singleton,en,tt0107840,2664
1245,The Remains of the Day,1993,"Drama, Romance","Anthony Hopkins, Emma Thompson, James Fox",James Ivory,en,tt0107943,814
7007,Rising Sun,1993,"Action, Drama, Thriller","Sean Connery, Wesley Snipes, Harvey Keitel",Philip Kaufman,en,tt0107969,2527
5550,RoboCop 3,1993,"Action, Adventure, Crime, Science Fiction, Thriller","Robert John Burke, Nancy Allen, Mario Machado",Fred Dekker,en,tt0107978,2252
2088,Romeo Is Bleeding,1993,"Action, Crime, Drama, Thriller","Gary Oldman, Lena Olin, Annabella Sciorra",Peter Medak,en,tt0107983,1294
424,Schindler's List,1993,"Drama, History, War","Liam Neeson, Ben Kingsley, Ralph Fiennes",Steven Spielberg,en,tt0108052,320
103413,Second Best,1994,Drama,"William Hurt, Nathan Yapp, Keith Allen",Chris Menges,en,tt0111102,5777
8850,The Shadow,1994,"Adventure, Fantasy, Action, Thriller, Science Fiction","Alec Baldwin, John Lone, Penelope Ann Miller",Russell Mulcahy,en,tt0111143,2795
695,Short Cuts,1993,"Comedy, Drama","Julianne Moore, Andie MacDowell, Tim Robbins",Robert Altman,en,tt0108122,538
858,Sleepless in Seattle,1993,"Comedy, Drama, Romance","Tom Hanks, Meg Ryan, Bill Pullman",Nora Ephron,en,tt0108160,666
867,Sliver,1993,"Drama, Thriller","Sharon Stone, William Baldwin, Tom Berenger",Phillip Noyce,en,tt0108162,674
78,Blade Runner,1982,"Science Fiction, Drama, Thriller","Harrison Ford, Rutger Hauer, Sean Young",Ridley Scott,en,tt0083658,43
319,True Romance,1993,"Action, Thriller, Crime, Romance","Christian Slater, Patricia Arquette, Michael Rapaport",Tony Scott,en,tt0108399,257
32562,The Celluloid Closet,1996,"History, Documentary","Lily Tomlin, Tony Curtis, Susan Sarandon",Rob Epstein,en,tt0112651,3635
124304,I Don't Want to Talk About It,1993,"Romance, Drama","Marcello Mastroianni, Luisina Brando, Alejandra Podesta",María Luisa Bemberg,en,tt0106678,6311
771,Home Alone,1990,"Comedy, Family","Macaulay Culkin, Joe Pesci, Daniel Stern",Chris Columbus,en,tt0099785,584
251,Ghost,1990,"Fantasy, Drama, Thriller, Mystery, Romance","Patrick Swayze, Demi Moore, Whoopi Goldberg",Jerry Zucker,en,tt0099653,197
812,Aladdin,1992,"Animation, Family, Comedy, Adventure, Fantasy, Romance","Scott Weinger, Robin Williams, Linda Larkin",Ron Clements,en,tt0103639,623
280,Terminator 2: Judgment Day,1991,"Action, Thriller, Science Fiction","Arnold Schwarzenegger, Linda Hamilton, Robert Patrick",James Cameron,en,tt0103064,223
581,Dances with Wolves,1990,"Adventure, Drama, Western","Kevin Costner, Mary McDonnell, Graham Greene",Kevin Costner,en,tt0099348,437
80350,Tough and Deadly,1995,"Thriller, Action, Drama","Roddy Piper, Billy Blanks, Richard Norton",Steve Cohen,en,tt0114706,5043
268,Batman,1989,"Fantasy, Action","Jack Nicholson, Michael Keaton, Kim Basinger",Tim Burton,en,tt0096895,212
274,The Silence of the Lambs,1991,"Crime, Drama, Thriller","Jodie Foster, Anthony Hopkins, Scott Glenn",Jonathan Demme,en,tt0102926,217
408,Snow White and the Seven Dwarfs,1937,"Fantasy, Animation, Family","Adriana Caselotti, Lucille La Verne, Harry Stockwell",David Hand,en,tt0029583,311
114,Pretty Woman,1990,"Romance, Comedy","Julia Roberts, Richard Gere, Ralph Bellamy",Garry Marshall,en,tt0100405,76
576,The Wild Bunch,1969,"Adventure, Western","William Holden, Ernest Borgnine, Robert Ryan",Sam Peckinpah,en,tt0065214,433
124472,A Great Day in Harlem,1994,"Documentary, Music",No Actor,Jean Bach,en,tt0109934,6315
7300,One Fine Day,1996,"Comedy, Romance","Michelle Pfeiffer, George Clooney, Mae Whitman",Michael Hoffman,en,tt0117247,2570
275,Fargo,1996,"Crime, Drama, Thriller","William H. Macy, Frances McDormand, Steve Buscemi",Joel Coen,en,tt0116282,218
8766,Hellraiser: Bloodline,1996,"Horror, Thriller, Science Fiction","Bruce Ramsay, Valentina Vargas, Charlotte Chatton",Kevin Yagher,en,tt0116514,2763
4307,The Flower of My Secret,1995,"Drama, Romance","Marisa Paredes, Juan Echanove, Carme Elias",Pedro Almodóvar,es,tt0113083,1909
1592,Primal Fear,1996,"Crime, Drama, Mystery, Thriller","Richard Gere, Edward Norton, Laura Linney",Gregory Hoblit,en,tt0117381,968
38884,Land and Freedom,1995,"Drama, History, War, Romance","Ian Hart, Rosana Pastor, Frédéric Pierrot",Ken Loach,en,tt0114671,3806
2021,Jack & Sarah,1995,"Comedy, Drama, Romance","Richard E. Grant, Samantha Mathis, Judi Dench",Tim Sullivan,en,tt0113448,1251
954,Mission: Impossible,1996,"Adventure, Action, Thriller","Tom Cruise, Jon Voight, Emmanuelle Béart",Brian De Palma,en,tt0117060,748
8840,DragonHeart,1996,Fantasy,"Dennis Quaid, David Thewlis, Pete Postlethwaite",Rob Cohen,en,tt0116136,2785
124625,My Mother's Courage,1995,Drama,"George Tabori, Pauline Collins, Ulrich Tukur",Michael Verhoeven,de,tt0117117,6323
161070,August,1996,"Romance, Comedy, Drama","Anthony Hopkins, Leslie Phillips, Kate Burton",Anthony Hopkins,en,tt0115591,7186
5801,Pather Panchali,1955,Drama,"Kanu Bannerjee, Karuna Bannerjee, Chunibala Devi",Satyajit Ray,bn,tt0048473,2314
896,The World of Apu,1959,Drama,"Soumitra Chatterjee, Sharmila Tagore, Alok Chakravarty",Satyajit Ray,bn,tt0052572,699
3065,Mystery Science Theater 3000: The Movie,1996,"Comedy, Science Fiction","Michael J. Nelson, Trace Beaulieu, Jim Mallon",Jim Mallon,en,tt0117128,1661
2300,Space Jam,1996,"Animation, Comedy, Drama, Family, Fantasy","Michael Jordan, Wayne Knight, Billy West",Joe Pytka,en,tt0117705,1410
8069,Barbarella,1968,Science Fiction,"Jane Fonda, John Phillip Law, Anita Pallenberg",Roger Vadim,en,tt0062711,2634
27768,Some Folks Call It a Sling Blade,1994,"Drama, Thriller","Billy Bob Thornton, Molly Ringwald, J.T. Walsh",George Hickenlooper,en,tt0108181,3432
33245,It's My Party,1996,Drama,"Eric Roberts, Gregory Harrison, Lee Grant",Randal Kleiser,en,tt0113443,3680
38867,Delta of Venus,1995,"Drama, Romance","Audie England, Costas Mandylor, Bernard Zette",Zalman King,en,tt0109593,3805
753,Faces,1968,Drama,"Gena Rowlands, John Marley, Lynn Carlin",John Cassavetes,en,tt0062952,566
8866,The Truth About Cats & Dogs,1996,"Comedy, Romance","Uma Thurman, Janeane Garofalo, Ben Chaplin",Michael Lehmann,en,tt0117979,2802
922,Dead Man,1995,"Drama, Fantasy, Western","Johnny Depp, Gary Farmer, Crispin Glover",Jim Jarmusch,en,tt0112817,721
73183,"The Haunted World of Edward D. Wood, Jr.",1996,Documentary,"Maila Nurmi, Dolores Fuller, Paul Marco",Brett Thompson,en,tt0113270,4842
664,Twister,1996,"Action, Adventure, Drama","Helen Hunt, Bill Paxton, Cary Elwes",Jan de Bont,en,tt0117998,513
532,A Close Shave,1995,"Family, Animation, Comedy","Peter Sallis, Anne Reid",Nick Park,en,tt0112691,397
26744,Force of Evil,1948,"Drama, Action, Crime","John Garfield, Thomas Gomez, Marie Windsor",Abraham Polonsky,en,tt0040366,3222
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"Drama, Comedy, War","Peter Sellers, George C. Scott, Sterling Hayden",Stanley Kubrick,en,tt0057012,732
7095,Jack,1996,"Comedy, Drama, Science Fiction","Robin Williams, Diane Lane, Brian Kerwin",Francis Ford Coppola,en,tt0116669,2540
124633,Someone Else's America,1995,Drama,"Tom Conti, Predrag 'Miki' Manojlović, María Casares",Goran Paskaljević,sr,tt0114494,6324
627,Trainspotting,1996,"Drama, Crime","Ewan McGregor, Ewen Bremner, Jonny Lee Miller",Danny Boyle,en,tt0117951,479
602,Independence Day,1996,"Action, Adventure, Science Fiction","Will Smith, Bill Pullman, Jeff Goldblum",Roland Emmerich,en,tt0116629,457
81949,An Unforgettable Summer,1994,"Drama, Romance, War","Kristin Scott Thomas, Claudiu Bleont, Olga Tudorache",Lucian Pintilie,ro,tt0111546,5105
